"","subtype","ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDCA1","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KNTC2","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
"H1AUNC.1324.C","Her2",-0.539,-1.543,-0.457,0.77,-1.17,0.018,-1.183,-0.62,-0.589,-2.217,-1.067,1.718,-1.062,-0.8,-0.387,-0.084,5.773,-3.148,-0.722,1.751,1.864,-1.37,1.324,2.884,-1.506,-0.769,-0.57,-1.894,-1.457,-0.321,0.16,-0.411,-2.628,-0.956,0.603,2.668,-0.437,-1.554,-0.312,-1.542,0.326,-1.984,-1.028,-0.496,-0.727,-2.269,-0.04,-1.67,-0.882,"-0.358"
"H1AUNC.1488C","Her2",-1.164,-2.872,-0.417,0.731,-1.423,0.534,-2.246,-1.153,-1.891,1.539,-1.715,1.417,-2.553,-3.07,0.531,0.015,5.859,-3.871,-1.975,-1.607,2.134,-1.41,0.156,2.754,-2.258,-2.06,-0.473,-0.566,-1.107,1.264,0.497,-1.8,-3.504,-0.978,1.355,5.564,-2.212,-2.479,0.642,-3.177,1.124,-2.84,-1.674,-1.282,-2.15,-1.909,1.945,-3.52,-0.758,"-2.077"
"H1AUNC.1489C","Her2",-0.699,-2.134,-0.97,0.373,-0.056,0.111,-1.213,-0.828,-0.814,-1.382,-1.597,0.414,-1.629,-1.23,-0.401,0.005,5.717,-2.941,-1.313,-0.045,1.495,-1.46,1.446,2.766,-1.264,-2.787,-0.188,-1.573,-0.912,-0.053,-0.048,-1.284,-2.15,-1.503,0.513,4.418,-0.822,-1.977,0.037,-2.983,0.97,-1.79,-1.491,-0.738,-0.983,-1.401,1.564,-3.53,-1.357,"-0.962"
"H1AUNC.1501C","Her2",-1.568,-1.956,-0.254,0.518,-0.682,0.274,-1.798,-0.811,-1.434,-1.233,-1.558,0.902,-0.936,-0.32,-0.907,0.174,4.067,-0.345,-1.585,-1.252,2.363,-1.85,1.768,2.195,-1.615,-1.483,-0.28,-1.233,-1.217,-0.529,0.383,-0.451,-2.304,0.738,0.709,4.511,-1.94,-2.97,3.952,-3.161,0.666,-2.757,-1.525,-0.914,-1.184,-0.278,0.057,-2.68,-0.504,"-0.262"
"H1AUNC.1511.C","Her2",-1.44,-1.42,-0.724,0.734,-2.798,0.586,-1.766,-1.361,-1.411,-1.598,-2.731,2.98,-1.752,-1.08,-0.055,0.509,6.804,-2.848,-1.791,1.351,2.432,-0.97,4.765,3.761,-2.622,-2.073,-0.125,-0.85,-1.45,0.19,0.409,-1.164,-2.402,-1.222,1.119,3.197,-1.195,-3.086,0.357,-2.406,1.468,-1.601,-1.523,-1.199,-1.901,-2.457,1.708,-3.28,-1.202,"-1.989"
"H1A7411.0108.C","LumA",-0.201,-2.806,0.017,0.655,-2.744,-0.138,-2.605,-1.265,-1.734,-3.108,-3.17,-1.647,-2.263,-2.77,0.072,-0.006,2.26,2.84,-2.767,0.301,2.959,-0.43,1.546,0.342,-1.655,-2.697,0.189,-1.459,-0.976,-0.135,0.243,-2.496,-1.302,-2.198,1.088,2.26,-2.459,-0.793,0.07,-1.637,0.611,-2.697,-2.406,-4.635,-0.32,-0.382,-0.787,-3.44,-1.523,"-1.852"
"H1A7411.0113.C","LumA",-0.904,-2.916,0.307,0.89,-2.768,0.203,-2.766,-1.664,-1.605,-3.045,-2.966,-1.104,-1.691,-2.76,0.743,-0.218,1.707,4.385,-2.911,-1.69,2.608,-0.78,0.667,0.356,-1.771,-2.285,-0.103,-1.61,-1.298,-0.19,0.268,-2.641,-2.442,-1.926,1.002,2.341,-2.222,-2.809,4.725,-1.795,2.157,-1.885,-2.271,-3.758,-1.99,0.934,-1.507,-3.84,-1.446,"-2.336"
"H1A7411.0118.C","LumA",-1.748,-3.14,1.997,0.587,-2.865,0.11,-2.741,-0.647,-1.538,-2.983,-2.189,-0.417,-2.625,-2.91,0.868,-0.112,3.092,2.701,-2.592,-1.746,3.018,-0.42,0.153,0.281,-1.502,-2.703,0.202,-1.783,-0.894,0.173,0.579,-2.716,-1.486,-2.021,1.13,3.873,-2.796,-3.117,4.543,-3.285,0.437,-2.365,-2.299,-3.693,-1.003,-0.462,-1.584,-3.66,-1.903,"-2.09"
"H1AUNC1166C","LumA",-1.307,-3.562,-0.353,1.387,-2.586,0.065,-3.48,-1.811,-1.597,-3.688,-3.32,0.292,-2.404,-3.69,1.168,-0.549,3.65,3.544,-2.963,-0.826,3.053,-0.98,-0.118,0.856,-1.971,-2.805,-0.156,-1.97,-1.009,0.925,0.519,-3.118,-2.528,-1.95,1.712,4.466,-2.732,-3.393,4.994,-2.823,1.313,-1.931,-2.271,-3.67,-2.075,1.361,-0.602,-4.42,-1.425,"-3.131"
"H1AUNC1168C","LumA",0.641,-2.138,0.958,0.739,-1.571,-1.74,-2.234,-1.578,-1.472,-2.667,-1.879,0.144,-1.404,-1.77,-0.246,-0.302,3.232,2.676,-1.682,-1.211,2.561,-1.44,1.374,0.661,-2.189,-1.828,0.298,-0.453,-0.901,0.908,-0.201,-1.643,-1.405,-1.589,0.879,3.236,-1.874,-1.059,4.874,-2.754,1.143,-2.494,-2.33,-2.718,-1.574,0.637,-1.866,-2.4,-1.349,"-2.267"
"H1AUNC1176C","LumA",-1.117,-3.193,0.737,0.954,-2.044,0.497,-2.484,-1.602,-1.639,-3.754,-3.077,-0.005,-2.419,-3.49,0.517,-0.777,3.359,3.836,-2.914,-1.742,2.592,-0.4,1.321,0.564,-2.003,-2.582,1.235,0.513,-0.265,0.691,-0.05,-2.038,-0.431,-2.333,1.42,2.295,-2.543,-1.408,4.796,-3.087,0.736,-2.239,-2.622,-3.781,0.357,1.843,-1.286,-3.74,-1.643,"-2.103"
"H1AUNC.1503C","LumA",-1.012,-3.208,0.711,0.62,-2.823,0.056,-2.871,-1.509,-2.061,-3.08,-3.673,0.438,-3.012,-2.85,0.094,0.171,2.25,3.094,-3.302,-1.648,2.182,-0.6,0.987,0.711,-3.144,-3.227,0.628,0.385,-0.721,1.629,0.258,-2.504,-1.335,-2.574,1.327,4.285,-3.508,-1.94,1.39,-3.181,2.045,-3.372,-2.545,-4.261,-0.78,2.37,1.796,-3.08,-1.671,"-2.763"
"H1AUNC.1566C","LumA",-0.48,-2.57,-0.443,0.689,-2.753,0.565,-2.599,-1.553,-2.006,-2.535,-2.842,0.476,-3.213,-2.77,-0.272,-0.211,2.416,1.968,-2.821,-1.767,2.34,-1.49,0.605,0.798,-2.698,-2.746,0.857,-0.108,-0.242,1.109,-0.101,-1.891,-0.023,-2.728,1.52,3.037,-2.655,-1.03,4.361,-3.584,0.324,-2.895,-2.416,-2.516,1.133,0.313,-1.375,-2.98,-1.245,"-1.599"
